"ADRREF","ADRCOMP","ADRADREF","ADRRTYPE"
"IS31011027","NLAAT","31011027","AddressType.Installation"
"SH31011027","NLAAT","31011027","AddressType.Delivery"
"IS31011264","NLAAT","31011264","AddressType.Installation"
"SH31011264","NLAAT","31011264","AddressType.Delivery"
"BT31011298","NLAAT","31011298","AddressType.SentInvoiceTo"
"IS31011298","NLAAT","31011298","AddressType.Installation"
"IV31011298","NLAAT","31011298","AddressType.Invoice"
"SH31011298","NLAAT","31011298","AddressType.Delivery"
"IS31014173","NLAAT","31014173","AddressType.Installation"
"SH31014173","NLAAT","31014173","AddressType.Delivery"
"BT31014567","NLAAT","31014567","AddressType.SentInvoiceTo"
"IV31014567","NLAAT","31014567","AddressType.Invoice"
"BT31014584","NLAAT","31014584","AddressType.SentInvoiceTo"
"IS31014584","NLAAT","31014584","AddressType.Installation"
"IV31014584","NLAAT","31014584","AddressType.Invoice"
"SH31014584","NLAAT","31014584","AddressType.Delivery"
"BT31014772","NLAAT","31014772","AddressType.SentInvoiceTo"
"IS31014772","NLAAT","31014772","AddressType.Installation"
"IV31014772","NLAAT","31014772","AddressType.Invoice"
"SH31014772","NLAAT","31014772","AddressType.Delivery"
"BT31014814","NLAAT","31014814","AddressType.SentInvoiceTo"
"IS31014814","NLAAT","31014814","AddressType.Installation"
"IV31014814","NLAAT","31014814","AddressType.Invoice"
"SH31014814","NLAAT","31014814","AddressType.Delivery"
"IS31015092","NLAAT","31015092","AddressType.Installation"
"SH31015092","NLAAT","31015092","AddressType.Delivery"
"IS31015517","NLAAT","31015517","AddressType.Installation"
"SH31015517","NLAAT","31015517","AddressType.Delivery"
"IS31016040","NLAAT","31016040","AddressType.Installation"
"SH31016040","NLAAT","31016040","AddressType.Delivery"
"IS31016360","NLAAT","31016360","AddressType.Installation"
"SH31016360","NLAAT","31016360","AddressType.Delivery"
"IS31016615","NLAAT","31016615","AddressType.Installation"
"SH31016615","NLAAT","31016615","AddressType.Delivery"
"BT31017600","NLAAT","31017600","AddressType.SentInvoiceTo"
"IS31017600","NLAAT","31017600","AddressType.Installation"
"IV31017600","NLAAT","31017600","AddressType.Invoice"
"SH31017600","NLAAT","31017600","AddressType.Delivery"
"IS31017620","NLAAT","31017620","AddressType.Installation"
"SH31017620","NLAAT","31017620","AddressType.Delivery"
"IS31018931","NLAAT","31018931","AddressType.Installation"
"SH31018931","NLAAT","31018931","AddressType.Delivery"
"IS31021167","NLAAT","31021167","AddressType.Installation"
"SH31021167","NLAAT","31021167","AddressType.Delivery"
"IS31021796","NLAAT","31021796","AddressType.Installation"
"SH31021796","NLAAT","31021796","AddressType.Delivery"
"BT31022973","NLAAT","31022973","AddressType.SentInvoiceTo"
"IV31022973","NLAAT","31022973","AddressType.Invoice"
"BT31023561","NLAAT","31023561","AddressType.SentInvoiceTo"
"IV31023561","NLAAT","31023561","AddressType.Invoice"
"IS31024628","NLAAT","31024628","AddressType.Installation"
"SH31024628","NLAAT","31024628","AddressType.Delivery"
"BT31024918","NLAAT","31024918","AddressType.SentInvoiceTo"
"IS31024918","NLAAT","31024918","AddressType.Installation"
"IV31024918","NLAAT","31024918","AddressType.Invoice"
"SH31024918","NLAAT","31024918","AddressType.Delivery"
"BT31025000","NLAAT","31025000","AddressType.SentInvoiceTo"
"IV31025000","NLAAT","31025000","AddressType.Invoice"
"IS31026587","NLAAT","31026587","AddressType.Installation"
"SH31026587","NLAAT","31026587","AddressType.Delivery"
"BT31031615","NLAAT","31031615","AddressType.SentInvoiceTo"
"IS31031615","NLAAT","31031615","AddressType.Installation"
"IV31031615","NLAAT","31031615","AddressType.Invoice"
"SH31031615","NLAAT","31031615","AddressType.Delivery"
"IS31034440","NLAAT","31034440","AddressType.Installation"
"SH31034440","NLAAT","31034440","AddressType.Delivery"
"IS31034575","NLAAT","31034575","AddressType.Installation"
"SH31034575","NLAAT","31034575","AddressType.Delivery"
"IS31038748","NLAAT","31038748","AddressType.Installation"
"SH31038748","NLAAT","31038748","AddressType.Delivery"
"BT31039751","NLAAT","31039751","AddressType.SentInvoiceTo"
"IS31039751","NLAAT","31039751","AddressType.Installation"
"IV31039751","NLAAT","31039751","AddressType.Invoice"
"SH31039751","NLAAT","31039751","AddressType.Delivery"
"IS31041690","NLAAT","31041690","AddressType.Installation"
"SH31041690","NLAAT","31041690","AddressType.Delivery"
"BT31041889","NLAAT","31041889","AddressType.SentInvoiceTo"
"IS31041889","NLAAT","31041889","AddressType.Installation"
"IV31041889","NLAAT","31041889","AddressType.Invoice"
"SH31041889","NLAAT","31041889","AddressType.Delivery"
"BT31044240","NLAAT","31044240","AddressType.SentInvoiceTo"
"IS31044240","NLAAT","31044240","AddressType.Installation"
"IV31044240","NLAAT","31044240","AddressType.Invoice"
"SH31044240","NLAAT","31044240","AddressType.Delivery"
"BT31045418","NLAAT","31045418","AddressType.SentInvoiceTo"
"IV31045418","NLAAT","31045418","AddressType.Invoice"
"IS31050915","NLAAT","31050915","AddressType.Installation"
"SH31050915","NLAAT","31050915","AddressType.Delivery"
"IS31052065","NLAAT","31052065","AddressType.Installation"
"SH31052065","NLAAT","31052065","AddressType.Delivery"
"BT31052434","NLAAT","31052434","AddressType.SentInvoiceTo"
"IS31052434","NLAAT","31052434","AddressType.Installation"
"IV31052434","NLAAT","31052434","AddressType.Invoice"
"SH31052434","NLAAT","31052434","AddressType.Delivery"
"IS31055889","NLAAT","31055889","AddressType.Installation"
"SH31055889","NLAAT","31055889","AddressType.Delivery"
"IS31056091","NLAAT","31056091","AddressType.Installation"
"SH31056091","NLAAT","31056091","AddressType.Delivery"
"BT31056292","NLAAT","31056292","AddressType.SentInvoiceTo"
"IS31056292","NLAAT","31056292","AddressType.Installation"
"IV31056292","NLAAT","31056292","AddressType.Invoice"
"SH31056292","NLAAT","31056292","AddressType.Delivery"
"IS31058140","NLAAT","31058140","AddressType.Installation"
"SH31058140","NLAAT","31058140","AddressType.Delivery"
"BT31059037","NLAAT","31059037","AddressType.SentInvoiceTo"
"IS31059037","NLAAT","31059037","AddressType.Installation"
"IV31059037","NLAAT","31059037","AddressType.Invoice"
"SH31059037","NLAAT","31059037","AddressType.Delivery"
"BT31059387","NLAAT","31059387","AddressType.SentInvoiceTo"
"IS31059387","NLAAT","31059387","AddressType.Installation"
"IV31059387","NLAAT","31059387","AddressType.Invoice"
"SH31059387","NLAAT","31059387","AddressType.Delivery"
"BT31063050","NLAAT","31063050","AddressType.SentInvoiceTo"
"IS31063050","NLAAT","31063050","AddressType.Installation"
"IV31063050","NLAAT","31063050","AddressType.Invoice"
"SH31063050","NLAAT","31063050","AddressType.Delivery"
"BT31064650","NLAAT","31064650","AddressType.SentInvoiceTo"
"IS31064650","NLAAT","31064650","AddressType.Installation"
"IV31064650","NLAAT","31064650","AddressType.Invoice"
"SH31064650","NLAAT","31064650","AddressType.Delivery"
"IS31065479","NLAAT","31065479","AddressType.Installation"
"SH31065479","NLAAT","31065479","AddressType.Delivery"
"IS31072521","NLAAT","31072521","AddressType.Installation"
"SH31072521","NLAAT","31072521","AddressType.Delivery"
"IS31080325","NLAAT","31080325","AddressType.Installation"
"SH31080325","NLAAT","31080325","AddressType.Delivery"
"IS31080327","NLAAT","31080327","AddressType.Installation"
"SH31080327","NLAAT","31080327","AddressType.Delivery"
"IS31080328","NLAAT","31080328","AddressType.Installation"
"SH31080328","NLAAT","31080328","AddressType.Delivery"
"IS31080361","NLAAT","31080361","AddressType.Installation"
"SH31080361","NLAAT","31080361","AddressType.Delivery"
"IS31083599","NLAAT","31083599","AddressType.Installation"
"SH31083599","NLAAT","31083599","AddressType.Delivery"
"BT31105605","NLAAT","31105605","AddressType.SentInvoiceTo"
"IS31105605","NLAAT","31105605","AddressType.Installation"
"IV31105605","NLAAT","31105605","AddressType.Invoice"
"SH31105605","NLAAT","31105605","AddressType.Delivery"
"IS31109183","NLAAT","31109183","AddressType.Installation"
"SH31109183","NLAAT","31109183","AddressType.Delivery"
"IS31112243","NLAAT","31112243","AddressType.Installation"
"SH31112243","NLAAT","31112243","AddressType.Delivery"
"BT31112450","NLAAT","31112450","AddressType.SentInvoiceTo"
"IS31112450","NLAAT","31112450","AddressType.Installation"
"IV31112450","NLAAT","31112450","AddressType.Invoice"
"SH31112450","NLAAT","31112450","AddressType.Delivery"
"IS31116032","NLAAT","31116032","AddressType.Installation"
"SH31116032","NLAAT","31116032","AddressType.Delivery"
"IS31116321","NLAAT","31116321","AddressType.Installation"
"SH31116321","NLAAT","31116321","AddressType.Delivery"
"BT31121774","NLAAT","31121774","AddressType.SentInvoiceTo"
"IV31121774","NLAAT","31121774","AddressType.Invoice"
"BT31126977","NLAAT","31126977","AddressType.SentInvoiceTo"
"IV31126977","NLAAT","31126977","AddressType.Invoice"
"IS31129482","NLAAT","31129482","AddressType.Installation"
"SH31129482","NLAAT","31129482","AddressType.Delivery"
"IS31129484","NLAAT","31129484","AddressType.Installation"
"SH31129484","NLAAT","31129484","AddressType.Delivery"
"IS31129488","NLAAT","31129488","AddressType.Installation"
"SH31129488","NLAAT","31129488","AddressType.Delivery"
"IS31129489","NLAAT","31129489","AddressType.Installation"
"SH31129489","NLAAT","31129489","AddressType.Delivery"
"BT31136952","NLAAT","31136952","AddressType.SentInvoiceTo"
"IS31136952","NLAAT","31136952","AddressType.Installation"
"IV31136952","NLAAT","31136952","AddressType.Invoice"
"SH31136952","NLAAT","31136952","AddressType.Delivery"
"IS31137068","NLAAT","31137068","AddressType.Installation"
"SH31137068","NLAAT","31137068","AddressType.Delivery"
"IS31145980","NLAAT","31145980","AddressType.Installation"
"SH31145980","NLAAT","31145980","AddressType.Delivery"
"BT31147552","NLAAT","31147552","AddressType.SentInvoiceTo"
"IV31147552","NLAAT","31147552","AddressType.Invoice"
"IS31147907","NLAAT","31147907","AddressType.Installation"
"SH31147907","NLAAT","31147907","AddressType.Delivery"
"IS31147922","NLAAT","31147922","AddressType.Installation"
"SH31147922","NLAAT","31147922","AddressType.Delivery"
"IS31147924","NLAAT","31147924","AddressType.Installation"
"SH31147924","NLAAT","31147924","AddressType.Delivery"
"BT31148420","NLAAT","31148420","AddressType.SentInvoiceTo"
"IS31148420","NLAAT","31148420","AddressType.Installation"
"IV31148420","NLAAT","31148420","AddressType.Invoice"
"SH31148420","NLAAT","31148420","AddressType.Delivery"
"BT31149373","NLAAT","31149373","AddressType.SentInvoiceTo"
"IV31149373","NLAAT","31149373","AddressType.Invoice"
"BT31151912","NLAAT","31151912","AddressType.SentInvoiceTo"
"IV31151912","NLAAT","31151912","AddressType.Invoice"
"IS31158732","NLAAT","31158732","AddressType.Installation"
"SH31158732","NLAAT","31158732","AddressType.Delivery"
"IS31162132","NLAAT","31162132","AddressType.Installation"
"SH31162132","NLAAT","31162132","AddressType.Delivery"
"IS31162470","NLAAT","31162470","AddressType.Installation"
"SH31162470","NLAAT","31162470","AddressType.Delivery"
"IS31162525","NLAAT","31162525","AddressType.Installation"
"SH31162525","NLAAT","31162525","AddressType.Delivery"
"IS31162526","NLAAT","31162526","AddressType.Installation"
"SH31162526","NLAAT","31162526","AddressType.Delivery"
"IS31162527","NLAAT","31162527","AddressType.Installation"
"SH31162527","NLAAT","31162527","AddressType.Delivery"
"IS31162528","NLAAT","31162528","AddressType.Installation"
"SH31162528","NLAAT","31162528","AddressType.Delivery"
"IS31162698","NLAAT","31162698","AddressType.Installation"
"SH31162698","NLAAT","31162698","AddressType.Delivery"
"IS31163290","NLAAT","31163290","AddressType.Installation"
"SH31163290","NLAAT","31163290","AddressType.Delivery"
"IS31163378","NLAAT","31163378","AddressType.Installation"
"SH31163378","NLAAT","31163378","AddressType.Delivery"
"IS31163379","NLAAT","31163379","AddressType.Installation"
"SH31163379","NLAAT","31163379","AddressType.Delivery"
"IS31163658","NLAAT","31163658","AddressType.Installation"
"SH31163658","NLAAT","31163658","AddressType.Delivery"
"IS31164045","NLAAT","31164045","AddressType.Installation"
"SH31164045","NLAAT","31164045","AddressType.Delivery"
"IS31164112","NLAAT","31164112","AddressType.Installation"
"SH31164112","NLAAT","31164112","AddressType.Delivery"
"IS31164407","NLAAT","31164407","AddressType.Installation"
"SH31164407","NLAAT","31164407","AddressType.Delivery"
"IS31164466","NLAAT","31164466","AddressType.Installation"
"SH31164466","NLAAT","31164466","AddressType.Delivery"
"IS31165399","NLAAT","31165399","AddressType.Installation"
"SH31165399","NLAAT","31165399","AddressType.Delivery"
"IS31165424","NLAAT","31165424","AddressType.Installation"
"SH31165424","NLAAT","31165424","AddressType.Delivery"
"IS31167489","NLAAT","31167489","AddressType.Installation"
"SH31167489","NLAAT","31167489","AddressType.Delivery"
"IS31167585","NLAAT","31167585","AddressType.Installation"
"SH31167585","NLAAT","31167585","AddressType.Delivery"
"IS31167864","NLAAT","31167864","AddressType.Installation"
"SH31167864","NLAAT","31167864","AddressType.Delivery"
"IS31168401","NLAAT","31168401","AddressType.Installation"
"SH31168401","NLAAT","31168401","AddressType.Delivery"
"IS31169222","NLAAT","31169222","AddressType.Installation"
"SH31169222","NLAAT","31169222","AddressType.Delivery"
"IS31170017","NLAAT","31170017","AddressType.Installation"
"SH31170017","NLAAT","31170017","AddressType.Delivery"
"IS31170018","NLAAT","31170018","AddressType.Installation"
"SH31170018","NLAAT","31170018","AddressType.Delivery"
"BT31170126","NLAAT","31170126","AddressType.SentInvoiceTo"
"IV31170126","NLAAT","31170126","AddressType.Invoice"
"IS31172688","NLAAT","31172688","AddressType.Installation"
"SH31172688","NLAAT","31172688","AddressType.Delivery"
"IS31174340","NLAAT","31174340","AddressType.Installation"
"SH31174340","NLAAT","31174340","AddressType.Delivery"
"IS31174585","NLAAT","31174585","AddressType.Installation"
"SH31174585","NLAAT","31174585","AddressType.Delivery"
"BT31174731","NLAAT","31174731","AddressType.SentInvoiceTo"
"IS31174731","NLAAT","31174731","AddressType.Installation"
"IV31174731","NLAAT","31174731","AddressType.Invoice"
"SH31174731","NLAAT","31174731","AddressType.Delivery"
"IS31175383","NLAAT","31175383","AddressType.Installation"
"SH31175383","NLAAT","31175383","AddressType.Delivery"
"IS31175568","NLAAT","31175568","AddressType.Installation"
"SH31175568","NLAAT","31175568","AddressType.Delivery"
"BT31176714","NLAAT","31176714","AddressType.SentInvoiceTo"
"IV31176714","NLAAT","31176714","AddressType.Invoice"
"IS31176983","NLAAT","31176983","AddressType.Installation"
"SH31176983","NLAAT","31176983","AddressType.Delivery"
"IS31180744","NLAAT","31180744","AddressType.Installation"
"SH31180744","NLAAT","31180744","AddressType.Delivery"
"IS31181091","NLAAT","31181091","AddressType.Installation"
"SH31181091","NLAAT","31181091","AddressType.Delivery"
"IS31182543","NLAAT","31182543","AddressType.Installation"
"SH31182543","NLAAT","31182543","AddressType.Delivery"
"BT31183225","NLAAT","31183225","AddressType.SentInvoiceTo"
