"CAREF","CANO","CACOMP","CACURREF","CANAME","CAADD","CACUST","CAVATNUM","CANOVAT","CASALEREP","CASUPP","CAVATREQ","CALNGREF","CACNTRREF","CATRANS","CACUSTTYPE","CADUNS","CATAXID","CABSCC","CACREDCSTAT","CAINTSTAT","CAMPRTNAME","CAMPRTNACE","CAMEMPNUM","CAMPRTTURN","CACUSTSTAT","CAACTION"
"1000003","1000003","NLAAT","EUR","AAREAL BANK AMSTERDAM","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","415082882","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000005","1000005","NLAAT","EUR","AH ENKHUIZEN BV 8693","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","405988598","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000014","1000014","NLAAT","EUR","AWS BETER WONEN ALMELO","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","403436348","0","360","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000015","1000015","NLAAT","EUR","MPS BAM INFRA ENERGIE & WATER WEST B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","407090539","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000020","1000020","NLAAT","EUR","BOUWBEDRIJF DE JONG & DE WAL VOF","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","414573654","0","360","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000022","1000022","NLAAT","EUR","BRANDWEER FLEVOLAND","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489927377","0","360","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000025","1000025","NLAAT","EUR","VAN ZANTEN SUPERMARKT B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489657319","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000030","1000030","NLAAT","EUR","CASCADE ALMERE","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","403355886","0","360","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000036","1000036","NLAAT","EUR","D.O.R.C.  B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","407522184","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000039","1000039","NLAAT","EUR","DO IT B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","418297958","0","200","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000040","1000040","NLAAT","EUR","DURA VERMEER BOUW ROSMALEN B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","414136192","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000042","1000042","NLAAT","EUR","MPS DURA VERMEER INFRASTRUCTUUR B.V. REGIO MIDDEN WEST","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489121348","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000043","1000043","NLAAT","EUR","EMPATEC N.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","407051106","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000047","1000047","NLAAT","EUR","FRANS NOOREN B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","411376015","0","200","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000051","1000051","NLAAT","EUR","MPS GEMEENTE HELMOND","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","407355861","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000067","1000067","NLAAT","EUR","KIESTRA LAB-AUTOMATION","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","417876166","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000070","1000070","NLAAT","EUR","MAGNITUDE CONSULTING","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","403131951","0","200","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1000073","1000073","NLAAT","EUR","MPS MOBILIS B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","403289122","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
