"CRTYPE","CRCOMP","CRPRTFROM","CRPRTTO","CRDTFROM","CRDTTO","CRACTION"
"CustomerRelation","NLAAT","2970050","1009208","20100101","","INSERT"
"CustomerRelation","NLAAT","1009764","1003359","20100101","","INSERT"
"CustomerRelation","NLAAT","1002360","1005086","20100101","","INSERT"
"CustomerRelation","NLAAT","2833070","2863234","20100101","","INSERT"
"CustomerRelation","NLAAT","1012778","1006871","20000101","","INSERT"
"CustomerRelation","NLAAT","1010327","1003878","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1006024","1006906","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1012778","1001586","20000101","","INSERT"
"CustomerRelation","NLAAT","1018479","1007148","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1015571","1007600","20000101","","INSERT"
"CustomerRelation","NLAAT","1006024","1012622","20000101","","INSERT"
"CustomerRelation","NLAAT","1018479","1010342","20000101","","INSERT"
"CustomerRelation","NLAAT","1018479","1001214","20000101","","INSERT"
"CustomerRelation","NLAAT","1006024","1015130","20000101","","INSERT"
"CustomerRelation","NLAAT","1006024","1013664","20000101","","INSERT"
"CustomerRelation","NLAAT","1018479","1008509","20000101","","INSERT"
"CustomerRelation","NLAAT","1010300","1018733","20000101","","INSERT"
"CustomerRelation","NLAAT","1006024","1008816","20000101","","INSERT"
"CustomerRelation","NLAAT","1006024","1006907","20000101","","INSERT"
"CustomerRelation","NLAAT","1006024","1007187","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1006024","1002027","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1015268","1008401","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1006024","1016389","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1006024","1007769","20000101","","INSERT"
"CustomerRelation","NLAAT","1014235","1002741","20000101","","INSERT"
"CustomerRelation","NLAAT","1015570","1015130","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1006024","1014487","20000101","","INSERT"
"CustomerRelation","NLAAT","1006053","1009208","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1010626","1010912","20000101","","INSERT"
"CustomerRelation","NLAAT","1015268","1015130","20000101","","INSERT"
"CustomerRelation","NLAAT","1005320","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1012778","1012780","20000101","","INSERT"
"CustomerRelation","NLAAT","1010300","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1010327","1009208","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1006024","1017062","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1010626","1017627","20000101","","INSERT"
"CustomerRelation","NLAAT","1009931","1010912","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1007109","1004195","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1003469","1010912","20000101","","INSERT"
"CustomerRelation","NLAAT","1009931","1006272","20000101","","INSERT"
"CustomerRelation","NLAAT","1010626","1003469","20000101","","INSERT"
"CustomerRelation","NLAAT","1003469","1010626","20000101","","INSERT"
"CustomerRelation","NLAAT","1012778","1015130","20000101","","INSERT"
"CustomerUniRelation","NLAAT","1018718","1009050","20000101","","INSERT"
"CustomerRelation","NLAAT","1015571","1007743","20000101","","INSERT"
"CustomerRelation","NLAAT","1010626","1009931","20000101","","INSERT"
"CustomerRelation","NLAAT","1009931","1010626","20000101","","INSERT"
"CustomerRelation","NLAAT","1015571","1003303","20000101","","INSERT"
"CustomerRelation","NLAAT","1015571","1013457","20000101","","INSERT"
"CustomerRelation","NLAAT","1012616","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1018737","1009773","20000101","","INSERT"
"CustomerRelation","NLAAT","1009317","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1001230","1002068","20000101","","INSERT"
"CustomerRelation","NLAAT","1044736","1010912","20000101","","INSERT"
"CustomerRelation","NLAAT","1012778","1049428","20000101","","INSERT"
"CustomerRelation","NLAAT","1003469","1017627","20000101","","INSERT"
"CustomerRelation","NLAAT","1049573","1006297","20000101","","INSERT"
"CustomerRelation","NLAAT","1049573","1011183","20000101","","INSERT"
"CustomerRelation","NLAAT","1044736","1017627","20000101","","INSERT"
"CustomerRelation","NLAAT","1010626","1044736","20000101","","INSERT"
"CustomerRelation","NLAAT","1044736","1010626","20000101","","INSERT"
"CustomerRelation","NLAAT","1281015","1010912","20000101","","INSERT"
"CustomerRelation","NLAAT","1291892","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1284882","1010912","20000101","","INSERT"
"CustomerRelation","NLAAT","1009931","1281015","20000101","","INSERT"
"CustomerRelation","NLAAT","1281015","1009931","20000101","","INSERT"
"CustomerRelation","NLAAT","1012778","1017104","20000101","","INSERT"
"CustomerRelation","NLAAT","1284882","1010626","20000101","","INSERT"
"CustomerRelation","NLAAT","1010626","1284882","20000101","","INSERT"
"CustomerRelation","NLAAT","1295641","1295486","20000101","","INSERT"
"CustomerRelation","NLAAT","1296023","1295486","20000101","","INSERT"
"CustomerRelation","NLAAT","1281015","1017627","20000101","","INSERT"
"CustomerRelation","NLAAT","1296233","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1009931","1017627","20000101","","INSERT"
"CustomerRelation","NLAAT","1284882","1009931","20000101","","INSERT"
"CustomerRelation","NLAAT","1009931","1284882","20000101","","INSERT"
"CustomerRelation","NLAAT","1009931","1044736","20000101","","INSERT"
"CustomerRelation","NLAAT","1044736","1009931","20000101","","INSERT"
"CustomerRelation","NLAAT","1010626","1281015","20000101","","INSERT"
"CustomerRelation","NLAAT","1281015","1010626","20000101","","INSERT"
"CustomerRelation","NLAAT","1301562","1301476","20000101","","INSERT"
"CustomerRelation","NLAAT","1301570","1301476","20000101","","INSERT"
"CustomerRelation","NLAAT","1301571","1301476","20000101","","INSERT"
"CustomerRelation","NLAAT","1301566","1301476","20000101","","INSERT"
"CustomerRelation","NLAAT","1281015","1284882","20000101","","INSERT"
"CustomerRelation","NLAAT","1284882","1281015","20000101","","INSERT"
"CustomerRelation","NLAAT","1281015","1003469","20000101","","INSERT"
"CustomerRelation","NLAAT","1003469","1281015","20000101","","INSERT"
"CustomerRelation","NLAAT","1044736","1281015","20000101","","INSERT"
"CustomerRelation","NLAAT","1281015","1044736","20000101","","INSERT"
"CustomerRelation","NLAAT","1302919","1295486","20000101","","INSERT"
"CustomerRelation","NLAAT","1010300","1002650","20000101","","INSERT"
"CustomerRelation","NLAAT","1010300","1000893","20000101","","INSERT"
"CustomerRelation","NLAAT","1301562","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1306525","1009481","20000101","","INSERT"
"CustomerRelation","NLAAT","1306525","1009050","20000101","","INSERT"
"CustomerRelation","NLAAT","1049573","1014213","20000101","","INSERT"
"CustomerRelation","NLAAT","1284882","1003469","20000101","","INSERT"
"CustomerRelation","NLAAT","1003469","1284882","20000101","","INSERT"
"CustomerRelation","NLAAT","1012683","1010936","20000101","","INSERT"
"CustomerRelation","NLAAT","1006024","1010593","20000101","","INSERT"
"CustomerRelation","NLAAT","1012683","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1313518","1010912","20000101","","INSERT"
"CustomerRelation","NLAAT","1006024","1010880","20000101","","INSERT"
"CustomerRelation","NLAAT","1321084","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1006024","1010015","20000101","","INSERT"
"CustomerRelation","NLAAT","1328678","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1329823","1328714","20000101","","INSERT"
"CustomerRelation","NLAAT","1329823","1295486","20000101","","INSERT"
"CustomerRelation","NLAAT","1329719","1295486","20000101","","INSERT"
"CustomerRelation","NLAAT","1329719","1328714","20000101","","INSERT"
"CustomerRelation","NLAAT","1330080","1295486","20000101","","INSERT"
"CustomerRelation","NLAAT","1330080","1328714","20000101","","INSERT"
"CustomerRelation","NLAAT","1329822","1328714","20000101","","INSERT"
"CustomerRelation","NLAAT","1329822","1295486","20000101","","INSERT"
"CustomerRelation","NLAAT","1329748","1295486","20000101","","INSERT"
"CustomerRelation","NLAAT","1329748","1328714","20000101","","INSERT"
"CustomerRelation","NLAAT","1346259","1010912","20000101","","INSERT"
"CustomerRelation","NLAAT","1350361","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1353980","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1353143","1006527","20000101","","INSERT"
"CustomerRelation","NLAAT","1353790","1002360","20000101","","INSERT"
"CustomerRelation","NLAAT","1351560","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1353823","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1353824","1008673","20000101","","INSERT"
"CustomerRelation","NLAAT","1281015","1303205","20000101","","INSERT"
"CustomerRelation","NLAAT","1353822","1001914","20000101","","INSERT"
"CustomerRelation","NLAAT","1301570","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1353698","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1354102","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1360751","1017062","20000101","","INSERT"
"CustomerRelation","NLAAT","1012778","1015774","20000101","","INSERT"
"CustomerRelation","NLAAT","1355651","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1355931","1010912","20000101","","INSERT"
"CustomerRelation","NLAAT","1357271","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1003469","1044736","20000101","","INSERT"
"CustomerRelation","NLAAT","1044736","1003469","20000101","","INSERT"
"CustomerRelation","NLAAT","1353824","1011757","20000101","","INSERT"
"CustomerRelation","NLAAT","1018479","1009228","20000101","","INSERT"
"CustomerRelation","NLAAT","1301566","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1361274","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1363667","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1173603","1014430","20000101","","INSERT"
"CustomerRelation","NLAAT","1003469","1303205","20000101","","INSERT"
"CustomerRelation","NLAAT","1388971","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1362512","1002102","20000101","","INSERT"
"CustomerRelation","NLAAT","1388031","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1350261","1010882","20000101","","INSERT"
"CustomerRelation","NLAAT","1010626","1303205","20000101","","INSERT"
"CustomerRelation","NLAAT","1401253","1009208","20000101","","INSERT"
"CustomerRelation","NLAAT","1406690","1009851","20000101","","INSERT"
"CustomerRelation","NLAAT","1400566","1009208","20000101","","INSERT"
