"ADREF","-","ADCOMP","ADSTR","ADCITY","ADZIP","ADLNGREF","ADPRTREF","ADCNTRREF","ADNAME","ADLINE2","ADLINE3","ADSTAT","ADCNTY","ADREM","ADCRMNO","ADINTSTAT"
"31011027","-","NLAAT","Meibergdreef 15","AMSTERDAM ZUIDOOST","1105 AZ","nl","P#31000021","NL","UVA - AVC (AMC gebouw)","address-line2","address-line3","ACTIVE","","remark","","Address.MDMMastered"
"31011264","-","NLAAT","Spui 25-27","AMSTERDAM","1012 WX","nl","P#31000021","NL","UVA Bureau Buitenland","","","ACTIVE","","","","Address.MDMMastered"
"31011298","-","NLAAT","Drostenhof 2A","ROLDE","9451 KG","nl","P#31000024","NL","Stichting Kinderopvang Rolde","","","ACTIVE","","","","Address.MDMMastered"
"31014173","-","NLAAT","Sonnevancklaan 2","HARDERWIJK","3847 LC","nl","P#31000006","NL","ZNWV Sonnevanck","","","ACTIVE","","","","Address.MDMMastered"
"31014567","-","NLAAT","Toekanweg 7","HAARLEM","2035 LC","nl","P#31000001","NL","RWS Directie Noord Holland","","","ACTIVE","","","","Address.MDMMastered"
"31014584","-","NLAAT","Izaak Enschedeweg 42-44","HAARLEM","2031 CS","nl","P#31000017","NL","Möhringer Liften B.V.","","","ACTIVE","","","","Address.MDMMastered"
"31014772","-","NLAAT","Meibergdreef 9","AMSTERDAM ZUIDOOST","1105 AZ","nl","P#31000020","NL","Academisch Medisch Centrum","","","ACTIVE","","","","Address.MDMMastered"
"31014814","-","NLAAT","Basisweg 10","AMSTERDAM","1043 AP","nl","P#31000016","NL","APG Diensten B.V.","","","ACTIVE","","","","Address.MDMMastered"
"31015092","-","NLAAT","Plantage Muidergracht 14","AMSTERDAM","1018 TV","nl","P#31000021","NL","UvA Facilitair Bedrijf FMG Binnenstad","","","ACTIVE","","","","Address.MDMMastered"
"31015517","-","NLAAT","Burgemeester Stramanweg 100","AMSTERDAM ZUIDOOST","1101 EM","nl","P#31000001","NL","RWS Dienstkring Amsterdam","","","ACTIVE","","","","Address.MDMMastered"
"31016040","-","NLAAT","Oude Turfmarkt 127","AMSTERDAM","1012 GC","nl","P#31000021","NL","UvA Allard Pierson Museum","","","ACTIVE","","","","Address.MDMMastered"
"31016360","-","NLAAT","Oudezijds Achterburgwal 237","AMSTERDAM","1012 DL","nl","P#31000021","NL","UVA Faculteit FMG","","","ACTIVE","","","","Address.MDMMastered"
"31016615","-","NLAAT","Professor Cobbenhagenlaan 13","TILBURG","5037 DA","nl","P#31000019","NL","CBS Avans Hogeschool","","","ACTIVE","","","","Address.MDMMastered"
"31017600","-","NLAAT","Raadhuisplein 1","VEENENDAAL","3901 GA","nl","P#31000026","NL","Gemeente Veenendaal","","","ACTIVE","","","","Address.MDMMastered"
"31017620","-","NLAAT","Baarnsche dijk 4","BAARN","3741 LR","nl","P#31000028","NL","B. Sis","","","ACTIVE","","","","Address.MDMMastered"
"31018931","-","NLAAT","Appelaar 35","GELDROP","5664 TZ","nl","P#31000009","NL","Ananz Ouderenzorg, Locatie Akert","","","ACTIVE","","","","Address.MDMMastered"
"31021167","-","NLAAT","Wassenaarseweg 220","'S-GRAVENHAGE","2596 EC","nl","P#31000013","NL","ANWB B.V.","","","ACTIVE","","","","Address.MDMMastered"
