"CAREF","CANO","CACOMP","CACURREF","CANAME","CAADD","CACUST","CAVATNUM","CANOVAT","CASALEREP","CASUPP","CAVATREQ","CALNGREF","CACNTRREF","CATRANS","CACUSTTYPE","CADUNS","CATAXID","CABSCC","CACREDCSTAT","CAINTSTAT","CAMPRTNAME","CAMPRTNACE","CAMEMPNUM","CAMPRTTURN","CACUSTSTAT"
"P#31000001","P#31000001","NLAAT","EUR","RWS Dienstkring Amsterdam","-","true","","false","false","false","false","nl","NL","false","CustomerType.Party","0","false","big_0000","CreditCheckStatus.Trade","Partner.MDMMastered","mdm_legal","mdm_nace","100","1000000","PartnerCustomerStatus.Approved"
"P#31000002","P#31000002","NLAAT","EUR","Rijksuniversiteit Groningen","-","true","","false","false","false","false","nl","NL","false","CustomerType.Party","0","false","-","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved"
"P#31000003","P#31000003","NLAAT","EUR","Tooling Holland B.V.","-","true","","false","false","false","false","nl","NL","false","CustomerType.Party","0","false","-","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved"
"P#31000004","P#31000004","NLAAT","EUR","Repro Service Lemmen","-","true","","false","false","false","false","nl","NL","false","CustomerType.Party","0","false","-","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved"
"P#31000005","P#31000005","NLAAT","EUR","Breman Machinery B.V.","-","true","","false","false","false","false","nl","NL","false","CustomerType.Party","0","false","-","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved"
"P#31000006","P#31000006","NLAAT","EUR","Stichting Zorggroep Noordwest-Veluwe","-","true","","false","false","false","false","nl","NL","false","CustomerType.Party","0","false","-","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved"
"P#31000007","P#31000007","NLAAT","EUR","Driessen Bouwbedrijf B.V.","-","true","","false","false","false","false","nl","NL","false","CustomerType.Party","0","false","-","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved"
"P#31000008","P#31000008","NLAAT","EUR","Sunair Europe BV","-","true","","false","false","false","false","nl","NL","false","CustomerType.Party","0","false","-","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved"
"P#31000009","P#31000009","NLAAT","EUR","Stichting St Anna Zorggroep","-","true","","false","false","false","false","nl","NL","false","CustomerType.Party","0","false","-","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved"
"P#31000010","P#31000010","NLAAT","EUR","Shipping Trad Transp (S.T.T.) Holding BV","-","true","","false","false","false","false","nl","NL","false","CustomerType.Party","0","false","-","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved"
